37	52	22	36	17	24	2
22	54	52	14	59	4	3
29	8	37	38	5	34	5
14	10	40	51	30	1	4
36	7	26	8	19	15	3
13	54	41	37	27	32	2
50	17	57	35	4	12	2
47	18	58	53	51	30	2
14	49	9	7	45	23	4
41	33	10	59	29	15	2
41	37	17	50	21	1	2
16	36	20	6	31	8	5
55	26	48	45	24	8	2
9	36	44	45	39	9	2
14	49	39	24	20	7	3
21	7	32	52	44	10	4
13	45	54	5	17	12	5
15	59	52	10	31	4	4
36	52	44	4	40	33	2
21	22	52	49	58	34	2
14	6	32	52	38	20	3
22	41	49	21	5	15	5
11	34	55	41	49	20	2
57	56	1	53	12	5	2
28	44	12	22	25	24	4
23	25	16	49	58	20	4
47	13	34	40	57	11	4
41	5	57	34	22	31	5
52	58	53	37	51	38	2
28	15	36	23	21	20	2
7	58	55	29	2	27	3
20	19	47	57	40	29	2
6	20	10	1	13	32	4
24	3	28	1	41	10	4
39	14	43	9	4	38	4
18	34	40	59	48	25	4
22	49	27	14	32	5	4
38	13	12	9	35	30	10
29	18	11	36	8	6	5
54	31	9	30	50	39	3
48	11	45	30	47	10	3
57	30	13	38	32	25	4
38	43	6	48	47	27	5
52	53	3	14	10	3	3
10	41	44	56	48	4	2
28	21	20	56	27	4	4
21	23	38	20	42	6	3
27	37	22	45	35	3	4
16	58	22	30	51	25	3
59	30	46	38	20	27	2
1	11	20	27	25	2	5
1	57	16	41	17	15	3
53	30	19	37	28	36	4
52	26	31	22	4	30	5
22	52	10	23	7	29	2
58	50	36	9	33	31	2
47	4	33	32	55	39	3
7	22	10	27	12	26	2
17	36	29	16	31	23	3
32	56	4	27	22	13	4
40	20	21	17	51	19	3
33	22	42	14	11	38	2
10	57	51	35	39	20	5
36	20	59	17	7	33	4
7	20	21	34	43	34	5
18	44	1	39	37	13	4
10	36	52	24	55	15	5
8	35	27	16	42	30	2
52	13	55	44	51	30	4
30	12	36	20	47	25	4
26	41	14	37	46	24	5
42	32	49	6	2	35	3
46	34	32	22	12	2	4
28	16	12	11	15	11	2
20	39	7	17	59	17	3
20	2	46	7	16	34	4
25	24	20	59	53	15	5
49	7	27	1	36	39	5
34	45	38	39	50	33	2
7	12	23	34	38	33	4
5	8	44	40	11	10	4
30	51	17	48	54	29	5
14	59	54	53	16	5	3
12	10	38	53	57	1	5
20	8	21	37	32	4	3
47	37	30	54	10	39	5
10	5	12	11	20	2	3
27	24	42	31	13	22	5
25	8	11	58	41	16	4
1	8	19	10	20	23	2
32	18	45	10	11	18	5
43	19	4	11	33	14	4
33	11	44	47	46	12	2
52	50	1	38	17	24	2
18	37	20	16	3	30	2
37	47	18	22	54	36	2
40	22	32	26	38	7	5
7	52	6	33	26	24	2
48	23	40	21	19	27	4
22	13	9	37	23	31	3
